российской , російської
переписи, перепису
санитарная, санітарна
Таджикистан, Таджикистан
реставрации, реставрації
заключению, висновком
бег, біг
носителей, носіїв
вакантной, вакантною
инъекций, ін'єкцій
ежегодных, щорічних
минеральных, мінеральних
западного, західного
скважины, свердловини
приоритеты, пріоритети
оставляю, залишаю
обозначение, позначення
доходам, доходам
вознаграждение, винагороду
замещении, заміщення
служебными, службовими
сигналов, сигналів
следования, слідування
резидента, резидента
оказывает, надає
оплачиваемого, оплачуваної
принцип, принцип
назначает, призначає
рационального, раціонального
привлекать, залучати
сырьевой, сировинної
обратившихся, які звернулися
экспертизе, експертизі
предписаний, приписів
указаний, вказівок
сми, змі
тела, тіла
источниками, джерелами
Владикавказ, Владикавказ
автомобильный, автомобільний
излучения, випромінювання
награды, нагороди
классификатор, класифікатор
установлению, встановленню
профессиональному, професійному
Пермь, Пермь
непрограммному, непрограммной
молодежного, молодіжного
абонента, абонента
охваченных, охоплених
горячей, гарячої
ответственному, відповідального
дисциплинарного, дисциплінарного
корректировка, коригування
комплектующих, комплектуючих
сайтах, сайтах
технологиям, технологіям
сдаче, здачі
ставропольском, Ставропольському
регистра, регістра
разрешить, дозволити
приговора, вироку
подпункты, підпункти
особое, особливе
способа, способу
владение, володіння
рекреационного, рекреаційного
размером, розміром
повторно, повторно
армии, армії
элементами, елементами
присутствии, присутності
основном, основному
самостоятельной, самостійної
климата, клімату
действующими, діючими
вредными, шкідливими
аннулировании, анулювання
терапия, терапія
специалистам, фахівцям
колледж, коледж
финанси, фінансу
смежных, суміжних
инвентаря, інвентарю
схеме, схемою
закрепленных, закріплених
протоколе, протоколі
поощрение, заохочення
невозможно, неможливо
хозяйстве, господарстві
типовых, типових
структурным, структурним
Минфину, Мінфіну
данная, дана
предусмотренное, передбачене
охоты, полювання
музей, музей
начинается, починається
рисками, ризиками
пожаротушения, пожежогасіння
налоге, податок
квот, квот
воздействий, впливів
формами, формами
торговле, торгівлі
отвода, відведення
предельно, гранично
дарственных, дарчих
объединениям, об'єднанням
верховном, верховному
событий, подій
поддержания, підтримки
кадастровая, кадастрова
совершено, скоєно
миграции, міграції
чрезвычайного, надзвичайного
носителях, носіях
изъятия, вилучення
лицензирующего, ліцензує
уплаченных, сплачених
дополнительном, додатковому
уровни, рівні
решениями, рішеннями
проживающего, проживає
умений, умінь
приспособлений, пристосувань
машинисту, машиністу
юридически, юридично
Тверь, Тверь
разница, різниця
присваивается, присвоюється
оценочной, оціночної
заключает, укладає
бюллетени, бюлетені
боеприпасов, боєприпасів
акционерному, акціонерному
министерств, міністерств
библиотеки, бібліотеки
присвоение, привласнення
эксплуатационных, експлуатаційних
исчислении, обчисленні
Чебоксары, Чебоксари
реабилитационных, реабілітаційних
поселка, селища
устанавливающих, що встановлюють
каким, яким
отнесения, віднесення
высота, висота
выпуске, випуск
водоснабжением, водопостачанням
проектная, проектна
обеспечен, забезпечений
увеличить, збільшити
монтажных, монтажних
длина, довжина
анализировать, аналізувати
минимальный, мінімальний
согласительной, погоджувальної
доказательств, доказів
структурные, структурні
статусом, статусом
переговоры, переговори
зданиях, будівлях
дистанционных, дистанційних
современного, сучасного
декларация, декларація
неисполнения, невиконання
материалах, матеріалах
экипажа, екіпажу
извещение, сповіщення
здравоохранению, охорони здоров'я
единую, єдину
бюджетом, бюджетом
методик, методик
межнациональных, міжнаціональних
лицензионного, ліцензійного
автобус, автобус
черных, чорних
координат, координат
семью, родину
проведенной, проведеної
полный, повний
производственном, виробничому
реку, річку
принявшего, прийняв
очно, очно
вред, шкода
специалисту, фахівцеві
подсчета, підрахунку
ограничении, обмеження
заводская, заводська
бюджетном, бюджетному
депутатские, депутатські
планировке, плануванні
хозяйствующих, господарюючих
предоставленной, наданої
установке, установці
специализированные, спеціалізовані
конечных, кінцевих
информатики, інформатики
тексту, тексту
продлен, продовжений
касающиеся, стосуються
длиной, довжиною
умерших, померлих
служебные, службові
разработана, розроблена
предпринимателем, підприємцем
последовательности, послідовності
первая, перша
организатора, організатора
создается, створюється
обоснованных, обґрунтованих
оценивать, оцінювати
незавершенного, незавершеного
хозяйственно, господарсько
движении, русі
проектам, проектам
лифтового, ліфтового
другом, другом
выбытия, вибуття
верхней, верхньої
снятии, зняття
сборки, збірки
получателям, одержувачам
канала, каналу
городским, міським
частичное, часткове
специальном, спеціальному
подведомственной, підвідомчій
единых, єдиних
ханской, ханської
сибирского, сибірського
необходимое, необхідне
музея, музею
кредитного, кредитного
обновление, оновлення
Тюмень, Тюмень
сельскохозяйственными, сільськогосподарськими
ненадлежащее, неналежне
маршрутам, маршрутами
журнала, журналу
оружие, зброю
возможного, можливого
численностью, чисельністю
дальневосточного, далекосхідного
создан, створений
совокупность, сукупність
общественные, громадські
конкурсных, конкурсних
электрические, електричні
унитарным, унітарною
уменьшения, зменшення
текущих, поточних
приведена, приведена
минсельхоза, мінсільгоспу
обустройства, облаштування
дыхания, дихання
электронные, електронні
чукотский, чукотський
работнику, працівнику
энергетике, енергетиці
увеличению, збільшення
справок, довідок
выполняющих, виконують
фитосанитарному, фітосанітарного
спортивную, спортивну
фиксации, фіксації
предоставлено, надано
питьевого, питного
построенных, побудованих
обеспечиваться, забезпечуватися
металлических, металевих
давлением, тиском
задание, завдання
населением, населенням
магаданская, магаданська
инфекции, інфекції
уполномоченном, уповноваженому
укрепления, зміцнення
подразделу, підрозділу
отвечающих, відповідальних
предъявлении, пред'явленні
запрашивает, запрошувати
администраций, адміністрацій
нормативное, нормативне
индексации, індексації
довольствия, забезпечення
газовой, газової
разрешенного, дозволеного
противопожарного, протипожежного
проведен, проведено
лечении, лікуванні
индустрии, індустрії
утратившей, втратила
стипендий, стипендій
письменно, письмово
общероссийский, загальноросійський
ндс, пдв
коммунальному, комунальному
учредительных, установчих
различного, різного
кировского, кіровського
заверенную, завірену
государствах, державах
советской, радянської
редких, рідкісних
лесами, лісами
роспотребнадзора, Росспоживнагляду
полезного, корисного
оснастки, оснащення
обособленного, відокремленого
взамен, натомість
акватории, акваторії
структурными, структурними
внутренние, внутрішні
обустройству, облаштування
излишне, зайве
товарами, товарами
доводится, доводиться
экономический, економічний
периодического, періодичного
автоматически, автоматично
определяемом, визначеному
компетентные, компетентні
ленинского, ленінського
кадровое, кадрове
пропорционально, пропорційно
прикладных, прикладних
паспортов, паспортів
общественным, громадським
компенсационного, компенсаційного
следовательно, отже
подписывает, підписує
информационную, інформаційну
изменению, зміни
дать, дати
вспомогательных, допоміжних
созданием, створенням
доверенность, доручення
туберкулезом, туберкульозом
апелляционной, апеляційної
российские, російські
реестров, реєстрів
разделов, розділів
заключить, укласти
заверяется, завіряється
выпускник, випускник
воспитанников, вихованців
хранении, зберіганні
рыбы, риби
казачьих, козацьких
дипломатическим, дипломатичним
произведений, творів
проживание, проживання
проведены, проведені
выполняемые, виконувані
сооружение, спорудження
смертности, смертності
очередном, черговому
локализации, локалізації
содержится, міститься
ширина, ширина
региональными, регіональними
почетные, почесні
отечественного, вітчизняного
обстоятельствах, обставинах
национально, національно
фундаментальные, фундаментальні
превышающей, перевищує
королевства, королівства
специализированными, спеціалізованими
секретарем, секретарем
кодам, кодами
пола, статі
организатор, організатор
нарастающим, наростаючим
созданной, створеної
выполнены, виконані
крестьянского, селянського
включению, включенню
взыскание, стягнення
среднемесячной, середньомісячної
жилищные, житлові
ежемесячных, щомісячних
ученой, наукового
минерально, мінерально
местам, місцях
заказчиками, замовниками
изготовлению, виготовлення
заказчиков, замовників
товар, товар
современными, сучасними
показаний, показань
печатного, друкованого
информационными, інформаційними
гранты, гранти
списке, списку
рыболовство, рибальство
выделить, виділити
отраслевых, галузевих
расчетных, розрахункових
изобретение, винахід
сохранность, збереження
профилактического, профілактичного
газовых, газових
реквизит, реквізит
ракетно, ракетно
практических, практичних
летательных, літальних
укреплению, зміцненню
пресс, прес
опасного, небезпечного
вычислительной, обчислювальної
февраль, лютий
отвечает, відповідає
организатором, організатором
выходной, вихідний
вариативной, варіативної
открытие, відкриття
инструментами, інструментами
фактах, фактах
серии, серії
плательщика, платника
коммуникации, комунікації
уведомить, повідомити
признанного, визнаного
московский, московський
ипотечным, іпотечним
концентрации, концентрації
целям, цілям
обуви, взуття
компенсационные, компенсаційні
замещающим, заміщує
целевую, цільову
индустриального, індустріального
выполняет, виконує
ассистентуры, асистентури
установку, установку
пост, пост
предложить, запропонувати
коэффициенты, коефіцієнти
конструкторской, конструкторської
распоряжениями, розпорядженнями
вспомогательного, допоміжного
ферм, ферм
прекурсоров, прекурсорів
повысить, підвищити
формате, форматі
строений, будівель
профиля, профілю
негосударственного, недержавного
такими, такими
материалам, матеріалами
внеплановых, позапланових
биржи, біржі
республиканском, республіканському
расторжения, розірвання
произведенной, виробленої
финансовую, фінансову
подготавливает, готує
оказывается, виявляється
общественная, громадська
аэродрома, аеродрому
трудовую, трудову
текущее, поточне
свой, свій
прогнозирования, прогнозування
инфузий, інфузій
цветных, кольорових
набора, набору
ценного, цінного
угла, кута
здраво, здраво
твердым, твердим
увольнении, звільнення
сестра, сестра
единовременное, одноразова
важнейших, найважливіших
принципиального, принципового
полномочным, повноважним
фундаменты, фундаменти
племенной, племінної
итоговая, підсумкова
иностранном, іноземною
инвестиционную, інвестиційну
запрашивать, запитувати
телефону, телефону
кресла, крісла
внутреннем, внутрішньому
Америки, Америки
определенным, певним
агитации, агітації
профес, профес
отпуске, відпустці
хранится, зберігається
психологической, психологічної
продления, продовження
сбросов, скидів
принятое, прийняте
лицензиатом, ліцензіатом
творческой, творчої
сетях, мережах
лицензированию, ліцензуванню
страница, сторінка
свободных, вільних
нарушениями, порушеннями
выбросов, викидів
утверждаемым, затверджується
техникой, технікою
руководящих, керівних
представительных, представницьких
новообразования, новоутворення
взимается, стягується
холодным, холодним
профилю, профілю
подчиненных, підлеглих
всемирной, всесвітній
заинтересованным, зацікавленим
железнодорожный, залізничний
атомных, атомних
указано, вказано
случаи, випадки
экономическим, економічним
счету, рахунком
принимаемые, прийняті
победителей, переможців
легкой, легкої
Челябинск, Челябінськ
какое, яке
утвержденная, затверджена
прогнозная, прогнозна
неотложных, невідкладних
начале, початку
депутатских, депутатських
михайловна, михайловна
имена, імена
резекция, резекція
причем, причому
досудебного, досудового
экспортному, експортного
расходовании, витрачання
типового, типового
открепительное, відкріпне
приоритетного, пріоритетного
отопление, опалення
улицы, вулиці
пресечения, заходу
оборудовании, обладнанні
нальных, нальних
депозитария, депозитарію
опасность, небезпека
изоляции, ізоляції
двигателя, двигуна
госгортехнадзора, Держнаглядохоронпраці
социальный, соціальний
свободный, вільний
природные, природні
антитеррористической, антитерористичної
устанавливаться, встановлюватися
ввозимых, ввозяться
совокупности, сукупності
совершению, здійсненню
профессиям, професіями
пояснения, пояснення
постройки, споруди
подписываются, підписуються
методикой, методикою
совершенных, скоєних
сбалансированности, збалансованості
правильность, правильність
моста, моста
городскому, міському
Cеверобайкальск, Северобайкальськ
освидетельствованию, огляду
округах, округах
выявлению, виявлення
оборудованные, обладнані
валютного, валютного
факторы, чинники
считаются, вважаються
приборами, приладами
благоустройства, благоустрою
материальная, матеріальна
применяться, застосовуватися
обязательно, обов'язково
оборудованы, обладнані
балансе, балансі
письменных, письмових
выдавшего, видав
Cалехард, Салехард
индекса, індексу
газового, газового
расписку, розписку
безнадзорности, бездоглядності
трубы, труби
таможенному, митному
мебели, меблів
застрахованным, застрахованим
дальнейшей, подальшої
давать, давати
разграничении, розмежування
вагона, вагона
бассейна, басейну
собственником, власником
поликлиники, поліклініки
планируемый, планований
переданные, передані
белого, білого
росприроднадзора, Росприроднагляду
палата, палата
курорта, курорту
исправления, виправлення
архива, архіву
седьмом, сьомому
продаж, продажів
оборудованию, обладнанню
экипажей, екіпажів
технологическим, технологічним
совещаний, нарад
генеральной, генеральної
академического, академічного
палате, палаті
ежегодной, щорічній
газопровода, газопроводу
любые, будь-які
какого, якого
планировки, планування
лесхоз, лісгосп
принципами, принципами
отчете, звіті
инструкцию, інструкцію
аналитических, аналітичних
пограничных, прикордонних
оперативной, оперативної
включенной, включеної
Махачкала, Махачкала
доказательства, докази
дования, нання
семейного, сімейного
неиспользованных, невикористаних
медицины, медицини
владельцем, власником
страховщик, страховик
реабилитация, реабілітація
различными, різними
пермской, пермської
запасных, запасних
Кемерово, Кемерово
Северобайкальск, Северобайкальськ
Салехард, Салехард
безопасных, безпечних
хабаровском, хабаровському
аппараты, апарати
озера, озера
Казань, Казань
обладать, володіти
другому, іншому
конечные, кінцеві
деловой, ділової
работам, роботам
произвести, провести
линия, лінія
замещаемой, замещаемой
филиалов, філій
своему, своєму
учебному, навчальному
составлении, складанні
норматива, нормативу
денежными, грошовими
голосовании, голосуванні
порядковый, порядковий
питание, харчування
открытии, відкритті
общеобразовательной, загальноосвітньої
согласованных, узгоджених
программным, програмним
распределительных, розподільних
полу, підлозі
подтверждении, підтвердженні
подписание, підписання
октябрьского, жовтневого
вода, вода
предмету, предмету
получаемые, одержувані
оказанных, наданих
члену, члену
туристских, туристських
совершенствовании, вдосконаленні
переданного, переданого
дистанционного, дистанційного
обоснованности, обґрунтованості
естественной, природною
освоивший, освоїв
арбитражным, арбітражним
перевозках, перевезеннях
рекомендуемый, рекомендований
просьбе, прохання
покрытий, покриттів
значениях, значеннях
вручается, вручається
банкротстве, банкрутство
сельский, сільський
перевозка, перевезення
имеющиеся, наявні
выражении, вираженні
возмещении, відшкодування
радиусом, радіусом
осуществляемые, здійснювані
общероссийского, загальноросійського
исторического, історичного
ожидаемых, очікуваних
наказание, покарання
графу, графу
графиком, графіком
целесообразности, доцільності
приложений, додатків
курсов, курсів
корректировке, коригування
усмотрению, розсуд
протоколу, протоколу
продовольственной, продовольчої
практике, практиці
непосредственный, безпосередній
камчатском, камчатському
сплавов, сплавів
признанным, визнаним
предыдущему, попередньому
поиске, пошуку
необходимый, необхідний
обьекта, об'єкта
население, населення
заявителям, заявникам
аналитической, аналітичної
тестирования, тестування
представлением, поданням
получает, отримує
оптимизация, оптимізація
транспортная, транспортна
пограничного, прикордонного
опасные, небезпечні
музеев, музеїв
информа, інформа
инструкций, інструкцій
заказу, замовленням
эмитентом, емітентом
экземпляра, примірника
секретариата, секретаріату
приобретенного, придбаного
заболеваемости, захворюваності
перспективу, перспективу
кожи, шкіри
пояса, пояса
письменному, письмовою
молодежных, молодіжних
лицензия, ліцензія
заявленных, заявлених
оригиналы, оригінали
национальным, національним
сообщает, повідомляє
почтового, поштового
получившим, який отримав
крепления, кріплення
показа, показу
межрегионального, міжрегіонального
высшие, вищі
принципу, принципом
информационный, інформаційний
здании, будівлі
книгу, книгу
инженерные, інженерні
обобщенной, узагальненої
комплексы, комплекси
дебиторской, дебіторської
мастеру, майстру
исчисляется, обчислюється
высший, вищий
ломоносова, ломоносова
поддержкой, підтримкою
патриотического, патріотичного
торговля, торгівля
кассового, касового
движением, рухом
факс, факс
получаемых, одержуваних
ведущего, провідного
электростанций, електростанцій
предоставленные, надані
определена, визначена
эффективных, ефективних
принявших, які взяли
пользователя, користувача
вовлечение, залучення
загрязняющих, забруднюючих
мероприятию, заходу
старше, старше
расходами, витратами
превышения, перевищення
пени, пені
лабораторией, лабораторією
активной, активної
шахты, шахти
условием, умовою
позицией, позицією
мобилизационной, мобілізаційної
жилом, житловому
споры, спори
агента, агента
нормативами, нормативами
логистического, логістичного
расчету, розрахунку
формой, формою
проспект, проспект
проектах, проектах
культурные, культурні
долевом, пайову
собрании, зборах
ответов, відповідей
твердыми, твердими
облигации, облігації
разъяснения, роз'яснення
нормативный, нормативний
уплатой, сплатою
следующую, наступну
заключен, укладений
специализированная, спеціалізована
результативность, результативність
принятыми, прийнятими
двадцати, двадцяти
регионах, регіонах
конкурсная, конкурсна
разрешении, дозволі
пользовании, користуванні
началом, початком
западная, західна
доведение, доведення
обеспечена, забезпечена
предприятию, підприємству
подготовленных, підготовлених
контролировать, контролювати
африканской, африканської
возможностью, можливістю
агентств, агентств
зарегистрированный, зареєстрований
процедуре, процедурі
массовым, масовим
ряд, ряд
объявления, оголошення
мостового, мостового
группой, групою
выданным, виданими
причинения, заподіяння
монтажа, монтажу
средством, засобом
пионерская, піонерська
сложившейся, сформованої
местоположения, місця розташування
уничтожению, знищення
равных, рівних
приложениям, додатків
персональную, персональну
войсками, військами
школьников, школярів
потоков, потоків
оказать, надати
международная, міжнародна
компанией, компанією
сводных, зведених
официальными, офіційними
гибели, загибелі
взрывных, вибухових
энергопринимающих, енергоприймаючу
размещены, розміщені
навигации, навігації
инвентарный, інвентарний
складов, складів
прежде, перш
врачебной, лікарської
автономному, автономному
подход, підхід
консолидированного, консолідованого
воспитанию, вихованню
эмиссии, емісії
касающуюся, що стосується
исполнительные, виконавчі
правильности, правильності
таможни, митниці
зарегистрированные, зареєстровані
высокие, високі
маточного, маточного
соотношения, співвідношення
присутствующих, присутніх
финансам, фінансів
капли, краплі
довести, довести
библиотечного, бібліотечного
максимального, максимального
внутренний, внутрішній
росписи, розпису
иммунодефицита, імунодефіциту
систематически, систематично
произведения, твори
непреодолимой, непереборної
использованы, використані
ведущему, ведучому
смертность, смертність
продажу, продаж
предъявляемые, пред'являються
инфраструктура, інфраструктура
электрооборудования, електрообладнання
предшествующих, попередніх
сферу, сферу
прогнозируемой, прогнозованої
участвующими, які беруть участь
специалистом, фахівцем
подстанции, підстанції
подписанное, підписане
участвуют, беруть участь
совету, раді
пожарного, пожежного
арматуры, арматури
указу, указу
предприниматели, підприємці
центрами, центрами
строение, будова
промыслов, промислів
красного, червоного
благоустройство, благоустрій
таможенное, митне
обеспечивающего, забезпечує
бор, бор
часы, годинник
телефонов, телефонів
полномочиям, повноважень
обособленных, відокремлених
бюджетный, бюджетний
разрешив, дозволивши
приостановление, призупинення
охраной, охороною
листы, листи
судопроизводства, судочинства
кварталом, кварталом
городском, міському
этапах, етапах
школьного, шкільного
промышленная, промислова
оптовом, оптовому
вкладов, вкладів
банкротства, банкрутства
травмы, травми
разработанных, розроблених
промежуточной, проміжної
причина, причина
антикоррупционной, антикорупційної
фундаментальных, фундаментальних
максимальная, максимальна
приобретенных, придбаних
натрия, натрію
общедоступного, загальнодоступного
необходимом, необхідному
рай, рай
почв, грунтів
избирательными, виборчими
согласованные, узгоджені
рядового, рядового
мелиоративных, меліоративних
индикатор, індикатор
добровольной, добровільної
выписку, виписку
освидетельствование, огляд
таможенная, митна
расчетная, розрахункова
пожарно, пожежно
ограждения, огорожі
компетенций, компетенцій
вооружений, озброєнь
прибытия, прибуття
образовать, утворити
хранить, зберігати
грозный, грізний
перемещение, переміщення
освоении, освоєнні
входящим, входять
всероссийский, всеросійський
Белгород, Білгород
уголовным, кримінальним
стол, стіл
физкультурных, фізкультурних
участнику, учаснику
участковая, дільнична
реагирования, реагування
введены, введені
форума, форуму
диагностических, діагностичних
включенным, включеним
электрического, електричного
способствующих, сприяють
фактический, фактичний
великий, великий
регламенты, регламенти
ученого, вченого
измерительных, вимірювальних
входа, входу
преступности, злочинності
временном, тимчасовому
районной, районної
разделения, поділу
выводы, висновки
север, північ
организационной, організаційної
назначением, призначенням
медицин, медицин
дополнив, доповнивши
показаниям, показаннями
зарегистрированы, зареєстровані
сетевая, мережева
банковские, банківські
температуре, температурі
восточного, східного
бюджетную, бюджетну
активного, активного
учредителем, засновником
исчерпывающий, вичерпний
экзамен, іспит
разместить, розмістити
головного, головного
европейского, європейського
петербургский, петербурзький
оклад, оклад
специализации, спеціалізації
размещаемых, розміщуються
регламентно, регламентно
лабораторных, лабораторних
компетенцией, компетенцією
реализуемые, реалізовані
распоряжений, розпоряджень
ошибки, помилки
грамотности, грамотності
проектного, проектного
существенных, істотних
соревнованиях, змаганнях
отдельной, окремої
обеспечиваются, забезпечуються
документально, документально
составила, склала
бригады, бригади
электроэнергетике, електроенергетиці
невыполнение, невиконання
микрорайон, мікрорайон
заполнению, заповнення
темп, темп
согласии, злагоді
расположенным, розташованим
поставщиками, постачальниками
катастроф, катастроф
продовольственных, продовольчих
проверяемого, перевіряється
стабилизации, стабілізації
рассматриваться, розглядатися
приносящей, приносить
пищи, їжі
клинического, клінічног
понимается, розуміється
допускать, допускати
утверждению, твердженням
дефектов, дефектів
архив, архів
предусматриваются, передбачаються
оценок, оцінок
исключение, виняток
товарам, товарам
материнством, материнством
электростанции, електростанції
космонавтов, космонавтів
включенного, включеного
педагогическим, педагогічним
обозначения, позначення
корреспонденции, кореспонденції
запрет, заборона
деления, ділення
дальнейшее, подальше
геологического, геологічного
водопровода, водопроводу
целевому, цільовим
расчетные, розрахункові
допустимые, допустимі
силах, силах
прилегающих, прилеглих
предыдущий, попередній
площадка, майданчик
необходимостью, необхідністю
